Maven;Hibernate2ndLvlCache;Server;Gatling;PostgreSQL;Cassandra;BackEnd;ElasticSearch;Docker;JHipster;Production;MySql;MySQL;Database;Development;EhCache;OAuth2;MicroserviceGateway;JWT;InternationalizationSupport;SocialLogin;HTTPSession;MariaDB;H2;InMemory;DiskBased;SQL;Monolithic;Libsass;HazelCast;Uaa;Authentication;MicroserviceApplication;UaaServer;TestingFrameworks;SpringWebSockets;MongoDB;Protractor;PostgreSQLDev;Gradle;Cucumber;Application;MariaDBDev;ClusteredSession;Generator;
-;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;X;-;-;X;-;X;X;-;X;X;X;-;-;X;
X;X;-;X;-;-;X;-;X;X;X;X;X;X;X;-;-;X;-;X;-;-;-;-;-;-;X;-;X;X;X;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
-;X;X;X;-;-;X;X;-;X;X;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
-;X;-;X;-;-;X;X;X;X;X;-;X;X;X;-;X;-;-;X;-;-;-;X;X;-;X;X;-;X;-;X;-;-;X;X;-;X;-;X;X;X;-;X;X;
X;-;X;X;-;X;X;-;-;X;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;-;-;X;
X;-;-;X;-;-;X;-;-;X;X;X;X;X;X;-;-;X;X;-;-;-;-;-;-;-;X;-;X;-;-;X;-;-;X;-;-;X;-;-;X;X;-;X;X;
-;-;X;X;-;-;X;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
X;-;X;X;-;-;X;-;X;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
X;X;-;X;-;-;X;X;-;X;X;-;X;X;X;X;-;-;X;X;X;-;-;X;X;-;X;X;X;-;-;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
X;-;-;X;-;-;X;-;X;X;X;-;-;X;X;-;X;-;-;-;-;-;X;X;X;-;X;X;X;-;-;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;X;-;X;-;-;X;X;-;X;X;-;-;X;X;-;X;-;-;X;-;-;X;-;-;-;X;X;X;X;-;X;-;-;X;X;-;X;-;X;X;X;X;-;X;
-;X;-;X;-;-;X;X;X;X;X;-;-;X;X;X;-;-;-;-;X;X;X;X;X;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;-;X;-;-;X;-;X;X;-;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;-;-;X;-;-;X;-;X;X;-;X;X;X;-;X;X;
X;-;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;X;X;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;-;-;X;-;X;X;-;-;X;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;X;X;-;-;X;X;-;X;-;X;X;X;-;X;X;
X;-;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;-;-;X;-;X;-;-;-;-;-;X;X;-;-;X;-;-;X;-;-;X;-;-;X;X;-;-;X;
X;X;-;X;-;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;X;X;X;-;-;-;X;X;X;X;-;X;-;-;X;-;-;X;-;-;X;X;X;-;X;
-;X;X;X;-;-;X;-;X;X;X;-;-;X;X;-;-;-;-;-;-;-;X;-;-;-;X;-;-;X;X;X;-;X;X;-;-;-;-;X;X;-;X;-;X;
X;X;X;X;-;-;X;X;-;X;X;-;-;X;X;X;-;-;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
-;X;X;X;-;-;X;X;X;X;X;-;X;X;X;X;-;-;-;-;-;-;-;X;X;-;X;-;-;-;X;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
X;X;X;X;X;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;-;-;-;X;X;-;X;-;-;X;X;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
-;X;-;X;X;-;X;X;X;X;X;-;-;X;X;X;X;-;-;-;-;-;-;-;-;-;X;X;-;-;-;X;-;-;X;X;-;X;X;X;X;X;-;-;X;
-;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;-;-;-;-;X;X;-;-;-;-;-;X;X;-;-;X;-;-;X;X;X;X;-;X;X;X;-;X;X;
X;X;-;X;X;-;X;-;-;X;X;-;-;X;X;-;X;-;-;X;-;-;-;-;-;-;X;X;X;X;-;X;-;-;X;-;-;X;X;-;X;X;-;X;X;
-;X;-;X;X;-;X;-;X;X;X;-;-;X;X;X;-;X;-;-;-;-;-;-;-;-;X;-;X;-;X;X;-;-;X;X;-;X;X;X;X;X;-;-;X;
-;-;X;X;-;-;X;-;X;X;-;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
X;X;X;X;X;-;X;X;-;X;X;-;-;X;X;-;-;-;-;X;-;-;-;-;-;-;X;-;-;X;X;X;-;X;X;-;-;-;X;-;X;-;-;-;X;
X;-;-;X;-;-;X;-;X;X;-;-;-;X;-;-;-;-;X;X;X;-;-;-;-;-;-;X;-;-;-;X;-;-;X;X;X;X;-;-;X;X;-;X;X;
-;-;-;X;X;-;X;-;X;X;X;-;-;X;X;-;-;-;-;-;X;X;-;X;X;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;-;X;-;-;X;X;-;X;X;X;X;X;X;-;X;-;-;X;-;-;-;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
X;X;-;X;-;-;X;-;X;X;X;X;X;X;X;-;X;-;-;-;-;-;-;-;-;-;X;X;-;X;-;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;-;X;-;-;X;-;-;-;X;-;X;X;X;X;X;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;-;X;X;X;-;-;-;-;-;-;-;-;X;-;-;X;-;-;X;X;X;X;-;X;X;X;-;-;X;
-;X;X;X;-;-;X;-;-;X;X;-;X;X;X;-;-;-;X;X;-;-;-;X;-;X;X;-;-;X;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
X;X;-;X;-;-;X;X;X;X;X;-;X;X;X;X;-;X;-;-;-;-;-;X;-;X;X;-;-;-;X;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;X;-;X;-;-;X;X;-;X;X;-;-;X;X;-;-;X;X;X;-;-;X;X;X;-;X;-;-;X;-;X;-;-;X;X;-;X;-;X;X;X;-;X;X;
X;-;X;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;X;X;-;-;-;-;-;-;X;-;-;-;-;X;X;-;X;-;-;-;X;-;X;-;-;-;X;
X;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;X;-;-;X;-;-;-;-;-;-;-;X;X;-;-;X;-;-;X;X;X;X;-;-;X;X;-;-;X;
X;-;X;X;-;-;X;-;-;X;-;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;-;X;-;-;-;X;-;-;-;X;
-;X;X;X;-;-;X;X;X;X;X;X;X;X;X;X;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
-;-;X;X;-;-;X;-;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;X;-;-;X;X;-;-;-;X;
-;-;X;X;-;-;X;X;X;X;X;-;-;X;X;-;-;-;-;X;-;-;X;X;-;X;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
X;-;X;X;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
X;-;-;X;X;-;X;X;X;X;X;-;-;X;X;-;-;X;-;X;-;-;-;-;-;-;X;-;X;-;X;X;-;-;X;X;-;X;X;-;X;X;-;X;X;
X;X;-;X;X;-;X;-;X;X;X;-;-;X;X;X;-;-;-;X;X;X;-;X;-;X;X;X;X;-;-;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
-;-;X;X;-;X;X;-;-;X;-;-;-;X;-;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
-;-;-;X;-;-;X;X;X;X;X;-;X;X;X;-;-;-;-;-;X;X;-;X;-;X;X;X;X;-;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
X;X;X;X;-;-;X;X;X;X;X;-;-;X;X;X;-;-;-;X;-;-;X;-;-;-;X;-;-;-;X;X;X;-;X;-;-;-;-;-;X;-;X;-;X;
X;X;-;X;X;-;X;-;X;X;X;-;-;X;X;X;-;-;X;-;X;-;-;-;-;-;X;X;X;-;-;X;-;-;X;-;-;X;X;-;X;X;-;X;X;
X;-;X;X;-;-;X;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;X;-;-;-;X;-;-;-;X;
-;-;-;X;-;-;X;X;X;X;X;-;-;X;X;-;-;-;-;-;-;X;X;-;-;-;X;X;-;-;-;X;-;-;X;X;-;X;-;X;X;X;X;X;X;
-;X;-;X;-;-;X;X;-;X;X;X;X;X;X;-;-;-;-;X;X;X;-;-;-;-;X;X;X;X;-;X;-;-;X;X;-;X;-;X;X;X;-;X;X;
-;-;-;X;X;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;X;X;-;-;-;-;X;X;-;-;-;X;-;-;X;X;-;X;X;X;X;X;-;X;X;
-;X;-;X;X;-;X;X;X;X;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;-;X;-;-;X;-;X;-;-;X;-;-;X;X;X;X;X;-;X;X;
X;-;-;X;-;-;X;-;X;X;-;-;-;X;-;-;-;X;-;X;-;-;-;-;-;-;-;-;-;-;X;X;-;-;X;-;X;X;-;-;X;X;-;-;X;
-;X;-;X;-;-;X;-;X;X;X;-;-;X;X;X;-;-;X;X;X;-;X;-;-;-;X;X;X;-;-;X;-;-;X;X;-;X;-;X;X;X;X;X;X;
X;-;X;X;-;-;X;-;-;X;X;X;X;X;X;-;-;-;-;X;-;-;-;-;-;-;X;-;-;-;X;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
-;X;X;X;X;-;X;-;X;X;X;-;-;X;X;X;-;-;-;-;-;-;-;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;X;X;X;-;-;-;X;
X;-;-;X;-;-;X;-;-;X;X;-;-;X;X;-;-;X;-;X;-;-;X;-;-;-;X;-;X;-;X;X;-;-;X;X;-;X;-;-;X;X;X;-;X;
-;X;X;X;X;-;X;X;X;X;X;-;-;X;X;-;-;-;-;X;-;-;-;-;-;-;X;-;-;X;X;X;X;-;X;-;-;-;X;X;X;-;-;-;X;
-;X;-;X;X;-;X;X;-;X;X;-;-;X;X;X;-;X;X;-;-;-;-;-;-;-;X;-;-;-;-;X;-;-;X;X;-;X;X;X;X;X;-;-;X;
X;X;-;X;-;-;X;X;X;X;X;-;-;X;X;-;-;X;X;-;-;-;X;-;-;-;X;-;X;X;-;X;-;-;X;-;-;X;-;-;X;X;X;X;X;
X;-;X;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;-;X;-;-;-;X;X;-;X;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;-;-;X;
X;X;-;X;-;-;X;X;X;X;X;X;X;X;X;X;-;-;-;X;X;X;-;-;-;-;X;X;-;-;-;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
X;X;X;X;-;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;X;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;X;-;X;
X;X;-;X;-;-;X;-;-;X;X;-;X;X;X;-;-;-;-;X;-;X;-;X;X;-;X;X;X;X;-;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;-;-;X;-;-;X;X;-;X;X;-;-;X;X;-;-;-;X;X;X;-;X;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;X;-;X;
X;X;-;X;-;-;X;X;-;X;X;-;-;X;X;-;-;-;-;X;X;X;X;X;-;X;X;X;-;X;-;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;X;X;X;-;-;X;X;X;X;X;-;-;X;X;X;-;-;-;-;-;-;X;X;X;-;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
X;-;X;X;X;-;X;-;X;X;X;-;-;X;X;-;-;-;-;-;-;-;-;X;-;X;X;-;-;-;X;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
X;-;X;X;-;X;X;-;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;-;-;X;
X;-;-;X;X;-;X;-;X;X;X;-;-;X;X;-;-;X;X;-;-;-;-;X;X;-;X;-;X;-;-;X;-;-;X;X;-;X;-;-;X;X;-;-;X;
X;X;-;X;-;-;X;-;-;X;X;-;-;X;X;X;X;-;-;-;-;-;X;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;-;X;X;X;-;X;
X;X;-;X;-;-;X;-;-;X;X;-;X;X;X;X;X;-;-;X;-;-;-;X;-;X;X;X;X;-;-;X;-;-;X;X;-;X;-;-;X;X;-;X;X;
-;X;-;X;-;-;X;-;-;X;X;-;X;X;X;-;-;X;-;-;-;-;-;X;-;X;X;-;X;X;X;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;X;-;X;X;-;X;X;X;-;-;X;
-;X;X;X;-;-;X;-;X;X;X;X;X;X;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;X;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
-;-;-;X;-;-;X;X;-;X;X;-;X;X;X;-;-;X;-;-;-;-;-;X;X;-;X;-;X;-;X;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;X;X;-;-;X;-;-;X;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
-;X;-;X;-;-;X;-;-;X;X;-;-;X;X;X;-;X;-;X;-;-;X;-;-;-;X;-;-;-;X;X;-;-;X;-;-;X;-;X;X;X;X;X;X;
-;-;X;X;-;-;X;-;-;X;X;-;-;X;X;-;-;-;X;-;-;-;X;-;-;-;X;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;X;-;X;
-;-;-;X;-;X;X;-;-;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;X;-;X;-;-;X;-;X;X;X;-;-;X;X;-;-;-;X;-;X;-;X;X;-;X;X;X;X;X;-;X;-;-;X;X;-;X;-;X;X;X;-;X;X;
X;-;X;X;-;-;X;-;-;X;X;-;X;X;X;-;-;-;-;-;-;-;-;X;-;X;X;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;-;-;X;
X;-;-;X;-;-;X;-;X;X;-;-;-;X;-;-;-;-;-;X;X;X;-;-;-;-;-;X;-;-;-;X;-;-;X;-;X;X;-;-;X;X;-;-;X;
-;-;-;X;-;-;X;-;X;X;X;X;X;X;X;-;-;-;-;-;X;X;-;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;X;X;-;-;X;-;-;X;X;-;-;X;X;-;-;-;X;X;-;-;X;X;X;-;X;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
X;X;-;X;X;-;X;-;X;X;X;-;-;X;X;-;-;-;-;X;-;X;-;-;-;-;X;X;X;X;-;X;-;-;X;-;-;X;X;-;X;X;-;-;X;
-;-;-;X;-;-;X;-;-;X;X;-;-;X;X;-;-;X;X;X;-;-;X;X;-;X;X;-;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;X;-;-;-;-;X;X;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;-;X;-;-;X;-;-;X;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;X;X;-;-;X;X;X;X;-;X;X;X;-;X;X;
-;X;-;X;X;-;X;X;X;X;X;-;-;X;X;X;X;-;-;-;-;-;-;X;-;X;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;X;X;X;-;-;X;-;-;X;X;-;X;X;X;-;-;-;-;-;-;-;-;X;X;-;X;-;-;X;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
-;X;-;X;-;-;X;-;-;X;X;X;X;X;X;X;-;X;-;-;-;-;-;-;-;-;X;-;X;-;X;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;-;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;-;X;X;-;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;X;-;X;-;-;X;X;-;X;X;-;X;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
-;-;-;X;-;X;X;-;-;X;-;-;-;X;-;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
X;-;-;X;-;-;X;X;-;X;X;-;-;X;X;-;X;-;-;-;-;-;X;X;-;X;X;X;-;-;-;X;-;-;X;-;-;X;-;-;X;X;-;-;X;
-;X;X;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;X;X;-;X;-;-;-;X;X;X;-;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;X;-;X;-;-;-;-;-;X;X;-;X;-;-;-;X;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
-;X;-;X;-;-;X;X;-;X;X;X;X;X;X;-;-;X;X;X;-;-;-;-;-;-;X;-;-;X;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
X;-;X;X;-;-;X;-;-;X;X;X;X;X;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;-;-;X;-;-;-;X;
-;-;X;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;X;X;X;-;-;-;X;
-;-;X;X;-;-;X;-;-;X;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;X;-;-;X;X;-;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;X;X;-;X;-;X;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;-;X;X;-;X;-;-;X;X;-;-;X;X;-;X;-;-;-;-;-;-;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;X;X;X;X;-;-;X;
-;-;X;X;-;-;X;-;X;X;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;X;X;X;-;X;-;X;-;-;X;X;-;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;X;X;-;-;-;-;-;-;X;X;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;X;X;-;-;X;X;-;X;X;-;-;X;X;-;-;-;-;X;-;-;X;-;-;-;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;X;-;X;
-;-;-;X;-;-;X;-;X;X;X;-;-;X;X;-;X;-;-;-;-;-;X;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;X;X;X;
X;-;X;X;-;X;X;-;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
-;-;X;X;X;-;X;X;-;X;X;-;-;X;X;-;-;-;X;-;-;-;-;X;-;X;X;-;-;-;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
-;-;-;X;-;X;X;-;-;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
-;X;X;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;X;-;X;X;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
-;X;X;X;-;-;X;-;-;X;X;-;-;X;X;-;-;-;X;-;-;-;X;-;-;-;X;-;-;X;-;X;X;-;X;-;-;-;-;X;X;-;X;-;X;
-;-;-;X;-;-;X;-;-;X;X;X;X;X;X;-;-;-;X;-;X;-;-;-;-;-;X;X;-;-;-;X;-;-;X;X;-;X;-;X;X;X;-;-;X;
-;X;X;X;-;-;X;-;-;X;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;X;-;X;X;-;X;-;-;-;-;X;X;-;-;-;X;
-;X;-;X;-;-;X;-;-;X;X;X;X;X;X;X;-;-;-;-;-;X;-;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;X;-;X;-;-;X;-;-;X;X;X;X;X;X;X;X;-;-;-;-;-;-;-;-;-;X;X;X;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;-;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;X;-;X;-;X;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;-;-;X;
-;-;X;X;-;X;X;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;-;-;X;-;-;-;-;-;X;-;X;X;-;-;X;X;X;-;-;X;-;-;X;-;X;X;X;-;X;X;
-;X;-;X;-;-;X;-;-;X;X;-;-;X;X;X;-;-;-;X;-;X;X;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;-;X;X;X;X;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;X;X;X;-;-;-;-;-;X;X;-;X;-;X;-;-;X;X;-;X;X;X;X;X;-;-;X;
-;X;-;X;X;-;X;-;-;X;X;-;-;X;X;X;-;-;-;X;-;X;-;-;-;-;X;X;-;-;-;X;-;-;X;-;-;X;X;X;X;X;-;-;X;
-;X;X;X;X;-;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;-;-;X;-;X;X;-;-;X;X;X;-;X;X;-;-;-;-;X;X;-;-;-;X;
